Transaction Number,Fuel Quantity,Gross Price,Full Address,Date & Time,Fuel Type,Site Name,Site ID,VIN,Vehicle ID
3,40.274,2.57,"43251 OH,  Columbus, 3099 Daylight Street, ",2024-10-02 08:54:26,gas,Love's,kccpf,OF2R8BPBQW86A4H81,11118111
5,44.12672,3.17,"43214 OH,  Columbus, 7241 Miller Road, ",2024-10-02 04:21:30,methanol,Speedway,vaia,TMPL2FUQB0O7U03AI,11111117
14,41.84,3.54,"43220 OH,  Columbus, 6263 Alabatross Ave, ",2024-10-02 11:50:55,propane,Sunoco,46801,SQ4OGE4H5QABMQWZ7,51485614
44,19.62,2.48,"43231 OH,  Columbus, 2332 MountainCrest Ave, ",2024-10-02 08:16:25,ethanol,Bucky's,vxxwx,KCW49BOUUA8G08QRU,11187812
80,54.07,2.86,"43218 OH,  Columbus, 6899 Royal Oak pkwy, ",2024-10-02 08:52:22,liquefied natural gas,Bucky's,awwyw,FE4PJ35K1R88PW9UU,17314381
94,19.2792,3.88,"43268 OH,  Columbus, 2141 Wayfair Court, ",2024-10-02 05:07:52,propane,Sunoco,74510,50N1I6GQQR3H7OUNB,71184158
97,35.17,3.83,"43215 OH,  Columbus, 9430 Pennsylvania Ave, ",2024-10-02 07:51:53,ethanol,Marathon,egegg,ISXBIYSR3OXNRGSPE,11131111
158,22.0786,3.31,"43268 OH,  Columbus, 2141 Wayfair Court, ",2024-10-02 03:56:35,liquefied natural gas,Sunoco,74510,2NH8FWYBVSK4D3XT4,65111551
177,6.67543,1.93,"43231 OH,  Columbus, 2332 MountainCrest Ave, ",2024-10-02 12:15:14,liquified natural gas,Bucky's,vxxwx,ESVYS2SP2AHSWMGF2,11121443
202,29.3204,2.46,"43224 OH,  Columbus, 6656 Elm Parkway, ",2024-10-02 12:01:31,liquefied natural gas,Speedway,anyx,PX2UN7T6EGFU5CMT3,81111821
